AIRLINE,ORIGIN_AIRPORT,DEPARTURE_DELAY
WN,ABQ,7.0
WN,PHX,1.0
B6,PBI,-1.0
B6,MSY,-10.0
B6,DCA,-3.0
B6,PBI,16.0
WN,PHX,0.0
B6,DCA,-7.0
B6,BDL,-8.0
B6,PBI,12.0
WN,PHX,-7.0
WN,SJC,0.0
WN,MSY,-3.0
WN,PHX,4.0
WN,ABQ,0.0
WN,DCA,-5.0
B6,DCA,-8.0
WN,BDL,-2.0
WN,DCA,-5.0
WN,PHX,-3.0
B6,PBI,-6.0
B6,BDL,-5.0
WN,BDL,5.0
WN,SJC,-4.0
WN,SLC,1.0
WN,BDL,5.0
WN,PHX,-1.0
WN,MSY,-2.0
WN,SLC,6.0
WN,PBI,0.0
B6,PBI,-2.0
WN,BUR,58.0
WN,PBI,-1.0
B6,DCA,-15.0
WN,MSY,-1.0
WN,ABQ,-1.0
B6,DCA,-6.0
WN,MSY,1.0
WN,PHX,0.0
WN,BDL,-3.0
B6,PBI,-8.0
WN,RNO,77.0
WN,SLC,0.0
WN,SLC,10.0
WN,ABQ,-2.0
B6,BDL,113.0
B6,DCA,-2.0
WN,SJC,-2.0
WN,SJC,-3.0
WN,PHX,-5.0
B6,DCA,-15.0
B6,PBI,-5.0
WN,DCA,51.0
WN,MSY,0.0
WN,MSY,-4.0
WN,DCA,-1.0
WN,PHX,0.0
WN,ABQ,-1.0
WN,SJC,-4.0
WN,SJC,-7.0
WN,BUR,3.0
WN,PHX,-2.0
B6,BDL,27.0
WN,DCA,-4.0
WN,MSY,-5.0
WN,RNO,-1.0
WN,SJC,-4.0
B6,DCA,-8.0
WN,PHX,-2.0
B6,PBI,-5.0
B6,MSY,1.0
WN,ABQ,2.0
WN,PHX,1.0
WN,DCA,-5.0
B6,DCA,14.0
WN,BUR,-6.0
WN,DCA,-5.0
WN,ABQ,8.0
WN,PHX,0.0
B6,PBI,-6.0
WN,BUR,-5.0
WN,PHX,-1.0
WN,MSY,-1.0
WN,PHX,-1.0
WN,PHX,8.0
WN,PHX,9.0
WN,PHX,9.0
WN,PHX,1.0
WN,SJC,-5.0
WN,PHX,2.0
WN,PHX,9.0
B6,PBI,-15.0
WN,BDL,-4.0
WN,PHX,0.0
WN,RNO,-5.0
WN,BUR,-2.0
WN,PHX,-3.0
WN,SJC,3.0
WN,PHX,9.0
WN,DCA,-4.0
WN,MSY,61.0
WN,PHX,-1.0
WN,SJC,-3.0
WN,SLC,0.0
WN,PHX,-4.0
B6,PBI,0.0
WN,SLC,16.0
WN,SLC,21.0
B6,BDL,-1.0
WN,DCA,-2.0
WN,MSY,0.0
WN,PHX,36.0
WN,SJC,-6.0
WN,DCA,-9.0
WN,DCA,-7.0
WN,BDL,-1.0
WN,MSY,-2.0
B6,DCA,-2.0
B6,PBI,-12.0
WN,BUR,-8.0
WN,PHX,2.0
WN,PBI,-11.0
WN,PHX,3.0
B6,PBI,-2.0
B6,DCA,-12.0
WN,PHX,1.0
WN,BUR,-2.0
WN,ABQ,1.0
WN,DCA,-4.0
WN,PHX,2.0
WN,BDL,-1.0
WN,SJC,-4.0
WN,PBI,-2.0
WN,PHX,14.0
WN,ABQ,35.0
WN,ABQ,48.0
WN,ABQ,24.0
WN,PHX,37.0
WN,SJC,-3.0
B6,PBI,-5.0
WN,BDL,-5.0
WN,MSY,0.0
WN,PHX,7.0
WN,PHX,8.0
WN,PHX,8.0
WN,PHX,47.0
WN,PHX,12.0
WN,RNO,2.0
WN,SJC,-2.0
WN,PHX,8.0
WN,MSY,0.0
WN,PHX,0.0
WN,PHX,2.0
WN,PHX,1.0
WN,PHX,4.0
WN,RNO,-2.0
WN,PHX,8.0
WN,SJC,-1.0
WN,SLC,25.0
WN,DCA,-4.0
WN,PHX,-6.0
WN,BUR,-3.0
WN,DCA,-2.0
WN,ABQ,22.0
WN,SLC,57.0
B6,DCA,-14.0
B6,BDL,-3.0
B6,PBI,4.0
WN,BUR,0.0
B6,DCA,-1.0
B6,SLC,-2.0
WN,ABQ,33.0
WN,DCA,-5.0
WN,MSY,-2.0
WN,PHX,-5.0
WN,BDL,-4.0
WN,BUR,14.0
WN,BUR,2.0
WN,MSY,-4.0
WN,PHX,14.0
WN,PHX,11.0
WN,MSY,8.0
WN,ABQ,28.0
WN,PHX,49.0
WN,SJC,-3.0
WN,PHX,22.0
WN,PHX,20.0
WN,PHX,-2.0
WN,PBI,-3.0
B6,PBI,7.0
B6,DCA,3.0
WN,ABQ,9.0
B6,PBI,22.0
WN,PHX,-3.0
WN,SJC,27.0
WN,BUR,-4.0
WN,SJC,3.0
WN,BDL,-1.0
WN,DCA,-3.0
WN,MSY,1.0
WN,BDL,-1.0
WN,MSY,-4.0
B6,PBI,9.0
WN,BUR,35.0
WN,PHX,-2.0
WN,BUR,1.0
WN,PHX,-5.0
WN,RNO,3.0
WN,PHX,-1.0
WN,SJC,-3.0
B6,DCA,-8.0
WN,BUR,1.0
WN,PHX,3.0
WN,SLC,20.0
WN,SLC,0.0
B6,DCA,-4.0
WN,PHX,-1.0
WN,PHX,6.0
WN,RNO,-5.0
WN,SJC,-3.0
WN,PHX,12.0
WN,SJC,-1.0
WN,SJC,3.0
WN,MSY,8.0
WN,PHX,65.0
WN,SJC,23.0
B6,BDL,-10.0
WN,DCA,4.0
WN,MSY,-3.0
WN,MSY,22.0
