Submission ID,Submission Time,Lateness (H:M:S)
12222694.0,2018-12-10 23:58:49 -0800,23:59:49
,,
12179674.0,2018-12-09 21:11:56 -0800,00:00:00
12180561.0,2018-12-09 21:52:24 -0800,00:00:00
12174304.0,2018-12-09 17:14:22 -0800,00:00:00
12172756.0,2018-12-09 16:24:20 -0800,00:00:00
,,
12181300.0,2018-12-09 22:59:43 -0800,00:00:00
12180705.0,2018-12-09 21:59:08 -0800,00:00:00
12182283.0,2018-12-09 23:59:51 -0800,00:00:51
12181498.0,2018-12-09 23:18:15 -0800,00:00:00
,,
,,
12160126.0,2018-12-08 20:08:41 -0800,00:00:00
12176296.0,2018-12-09 19:03:34 -0800,00:00:00
12180789.0,2018-12-09 22:06:39 -0800,00:00:00
12154687.0,2018-12-08 15:22:35 -0800,00:00:00
12164980.0,2018-12-09 06:52:20 -0800,00:00:00
12180874.0,2018-12-09 22:14:43 -0800,00:00:00
12172670.0,2018-12-09 16:15:19 -0800,00:00:00
12182187.0,2018-12-09 23:55:25 -0800,00:00:00
12181100.0,2018-12-09 22:40:36 -0800,00:00:00
12182195.0,2018-12-09 23:55:48 -0800,00:00:00
12172195.0,2018-12-09 15:45:45 -0800,00:00:00
12181539.0,2018-12-09 23:22:01 -0800,00:00:00
,,
12182128.0,2018-12-09 23:52:26 -0800,00:00:00
12168029.0,2018-12-09 12:23:56 -0800,00:00:00
12181624.0,2018-12-09 23:27:41 -0800,00:00:00
12042288.0,2018-12-05 20:23:54 -0800,00:00:00
12175961.0,2018-12-09 18:42:56 -0800,00:00:00
12159269.0,2018-12-08 19:33:39 -0800,00:00:00
12178496.0,2018-12-09 20:11:59 -0800,00:00:00
,,
12182241.0,2018-12-09 23:58:14 -0800,00:00:00
12180355.0,2018-12-09 21:40:55 -0800,00:00:00
,,
12181125.0,2018-12-09 22:42:41 -0800,00:00:00
,,
12156208.0,2018-12-08 17:09:33 -0800,00:00:00
,,
12170703.0,2018-12-09 14:21:06 -0800,00:00:00
12179558.0,2018-12-09 21:02:45 -0800,00:00:00
,,
12176328.0,2018-12-09 19:05:36 -0800,00:00:00
12159510.0,2018-12-08 19:49:12 -0800,00:00:00
,,
,,
12182150.0,2018-12-09 23:53:34 -0800,00:00:00
,,
12176290.0,2018-12-09 19:03:06 -0800,00:00:00
,,
,,
12180979.0,2018-12-09 22:27:57 -0800,00:00:00
12177499.0,2018-12-09 19:23:43 -0800,00:00:00
12181429.0,2018-12-09 23:10:23 -0800,00:00:00
,,
12149621.0,2018-12-08 12:29:20 -0800,00:00:00
,,
12179252.0,2018-12-09 20:50:07 -0800,00:00:00
,,
,,
12155055.0,2018-12-08 15:57:33 -0800,00:00:00
12175166.0,2018-12-09 17:57:31 -0800,00:00:00
12175044.0,2018-12-09 17:51:43 -0800,00:00:00
12181358.0,2018-12-09 23:03:57 -0800,00:00:00
,,
12181683.0,2018-12-09 23:33:32 -0800,00:00:00
12181541.0,2018-12-09 23:22:11 -0800,00:00:00
12180787.0,2018-12-09 22:06:31 -0800,00:00:00
,,
12180398.0,2018-12-09 21:43:02 -0800,00:00:00
12180545.0,2018-12-09 21:51:45 -0800,00:00:00
12077781.0,2018-12-06 16:14:33 -0800,00:00:00
12181452.0,2018-12-09 23:12:10 -0800,00:00:00
12172413.0,2018-12-09 15:59:18 -0800,00:00:00
12171624.0,2018-12-09 15:15:56 -0800,00:00:00
12182197.0,2018-12-09 23:55:53 -0800,00:00:00
12224210.0,2018-12-11 06:28:51 -0800,30:29:51
12181407.0,2018-12-09 23:08:00 -0800,00:00:00
12182200.0,2018-12-09 23:56:06 -0800,00:00:00
12162039.0,2018-12-08 21:21:13 -0800,00:00:00
12178639.0,2018-12-09 20:19:18 -0800,00:00:00
12181754.0,2018-12-09 23:40:32 -0800,00:00:00
12182159.0,2018-12-09 23:54:10 -0800,00:00:00
12174862.0,2018-12-09 17:40:59 -0800,00:00:00
12182045.0,2018-12-09 23:50:00 -0800,00:00:00
,,
12181485.0,2018-12-09 23:16:43 -0800,00:00:00
,,
12170431.0,2018-12-09 14:07:04 -0800,00:00:00
12182255.0,2018-12-09 23:58:53 -0800,00:00:00
12178345.0,2018-12-09 20:03:24 -0800,00:00:00
12181776.0,2018-12-09 23:42:35 -0800,00:00:00
12172118.0,2018-12-09 15:39:50 -0800,00:00:00
12178354.0,2018-12-09 20:03:55 -0800,00:00:00
12181044.0,2018-12-09 22:34:09 -0800,00:00:00
,,
